Language Code,Translation
sq,"Le të fillojmë, shef 💼 Sot është një ditë perfekte për hapa të guximshëm. Cili është lëvizja jonë e parë?"
am,"እንግዲኛ እንጀምር, አለቃ 💼 ዛሬ በትክክል ቀን ነው የታላቅ እርምጃ ለመውሰድ። የመጀመሪያ እርምጃችን ምንድነው?"
ar,لنبدأ يا زعيم 💼 اليوم يوم رائع لاتخاذ خطوات جريئة. ما هي أول خطوة؟
hy,"Գործի անցնենք, շե՛ֆ 💼 Այսօր հիանալի օր է համարձակ քայլերի համար։ Ո՞րն է մեր առաջին քայլը։"
bn,"চলুন শুরু করি, বস 💼 আজ সাহসী পদক্ষেপ নেওয়ার জন্য দারুণ দিন। আমাদের প্রথম পদক্ষেপ কী?"
bs,"Krenimo, šefe 💼 Danas je sjajan dan za hrabre poteze. Koji je naš prvi korak?"
bg,"Да действаме, шефе 💼 Днес е страхотен ден за смели стъпки. Каква е първата ни стъпка?"
my,"စလော့မယ်နော်, ဥက္ကဌရေ 💼 ယနေ့ဟာ တော်တော်မိုက်တဲ့ တက်ကြွမှုအတွက် နေ့တစ်နေ့ပါ။ ပထမအဆင့်ကဘာလဲ?"
ca,"Som-hi, cap 💼 Avui és un gran dia per fer passos valents. Quina és la nostra primera jugada?"
zh,开干吧，老板 💼 今天是迈出大胆一步的好日子。我们第一步是什么？
hr,"Idemo u akciju, šefe 💼 Danas je sjajan dan za hrabre korake. Koji je naš prvi potez?"
cs,"Pojďme na to, šéfe 💼 Dnes je skvělý den pro odvážné kroky. Jaký bude náš první tah?"
da,"Lad os komme i gang, boss 💼 I dag er perfekt til at tage modige skridt. Hvad er vores første træk?"
nl,"Aan de slag, baas 💼 Vandaag is een topdag voor gedurfde stappen. Wat wordt onze eerste zet?"
et,"Hakkame pihta, boss 💼 Täna on suurepärane päev julgeteks sammudeks. Mis on meie esimene käik?"
fi,"Mennään asiaan, pomo 💼 Tänään on loistava päivä rohkeille askeleille. Mikä on meidän ensimmäinen siirto?"
fr,"C’est parti, boss 💼 Aujourd’hui est une super journée pour oser. Quelle est notre première action ?"
ka,"დავიწყოთ, ბოსო 💼 დღეს შესანიშნავი დღეა მამაც ნაბიჯებისთვის. რა იქნება პირველი ნაბიჯი?"
de,"Los geht’s, Boss 💼 Heute ist ein großartiger Tag für mutige Schritte. Was ist unser erster Move?"
el,"Πάμε, αφεντικό 💼 Σήμερα είναι ιδανική μέρα για τολμηρές κινήσεις. Ποιο είναι το πρώτο μας βήμα;"
gu,"ચાલો શરૂ કરીએ, બોસ 💼 આજે সাহસિક પગલાં ભરવા માટે એક ઉત્તમ દિવસ છે. પ્રથમ પગલું શું છે?"
hi,"चलिए शुरू करते हैं, बॉस 💼 आज बड़े फैसले लेने का शानदार दिन है। हमारी पहली चाल क्या होगी?"
hu,"Vágjunk bele, főnök 💼 Ma remek nap a merész lépésekhez. Mi legyen az első lépésünk?"
is,"Förum í þetta, yfirmaður 💼 Í dag er frábær dagur til að taka djarfar skref. Hver er fyrsta hreyfingin okkar?"
id,"Yuk mulai, bos 💼 Hari ini hari yang tepat untuk ambil langkah berani. Langkah pertama kita apa?"
it,"Diamoci dentro, capo 💼 Oggi è il giorno giusto per fare passi audaci. Qual è la nostra prima mossa?"
ja,さあ行きましょう、ボス 💼 今日は大胆な一歩を踏み出すのに最高の日です。最初のステップは何にしますか？
kn,ಶುರುಮಾಡೋಣ ಬಾಸ್ 💼 ಇಂದು ಧೈರ್ಯದ ಹೆಜ್ಜೆಗೆ ಸೂಕ್ತವಾದ ದಿನ. ನಮ್ಮ ಮೊದಲ ಹೆಜ್ಜೆ ಏನು?
kk,"Бастайық, бастық 💼 Бүгін батыл қадамдар үшін керемет күн. Алғашқы қадамымыз қандай?"
